Key,Value
Rutgers - New Jersey,Rutgers - New Jersey
Rutgers - Robert Wood Johnson,Rutgers - Robert Wood Johnson
SUNY Downstate,SUNY Downstate
SUNY Upstate,SUNY Upstate
Saint Louis,Saint Louis
San Juan Bautista,San Juan Bautista
South Alabama,South Alabama
South Carolina - Columbia,South Carolina - Columbia
South Carolina - Greenville,South Carolina - Greenville
South Dakota,South Dakota
University of Southern California,University of Southern California
Southern Illinois,Southern Illinois
Stanford,Stanford
Texas Christian University,Texas Christian University
Temple,Temple
Tennessee,Tennessee
Texas A&M,Texas A&M
Texas Tech - Lubbock,Texas Tech - Lubbock
Texas Tech - Foster,Texas Tech - Foster
Toledo,Toledo
Tufts,Tufts
Tulane,Tulane
Washington,Washington
University of California Davis,University of California Davis
University of California Irvine,University of California Irvine
University of California Riverside,University of California Riverside
University of California San Diego,University of California San Diego
University of California San Francisco,University of California San Francisco
Univesity of Central Florida,Univesity of Central Florida
University of California Los Angeles,University of California Los Angeles
University of Nevada Las Vegas,University of Nevada Las Vegas
University of South Florida,University of South Florida
University of Texas - Austin,University of Texas - Austin
University of Texas - Houston,University of Texas - Houston
University of Texas - Medical Branch,University of Texas - Medical Branch
University of Texas - Rio Grande,University of Texas - Rio Grande
University of Texas - San Antonio,University of Texas - San Antonio
University of Texas - Southwestern,University of Texas - Southwestern
Uniformed Services,Uniformed Services
Utah,Utah
Vanderbilt,Vanderbilt
Vermont,Vermont
Virginia,Virginia
Virginia Commonwealth,Virginia Commonwealth
Virginia Tech,Virginia Tech
Wake Forest,Wake Forest
Washington State,Washington State
Washington University Saint Louis,Washington University Saint Louis
Wayne State,Wayne State
West Virginia,West Virginia
Western Michigan,Western Michigan
Wisconsin,Wisconsin
Wright State,Wright State
Yale,Yale
Hofstra,Hofstra
Zucker,Hofstra
YSM,Yale
Miller,Miami
JHU,Johns Hopkins
Kimmel,Jefferson
SKMC,Jefferson
Kaiser,Kaiser Permanente
STX,University of Texas - San Antonio
UT San Antonio,University of Texas - San Antonio
Louisiana State New Orleans,LSU - New Orleans
Louisiana State Shreveport,LSU - Shreveport
MCW,Medical College of Wisconsin
MU South Carolina,Medical University of South Carolina
MUSC,Medical University of South Carolina
McGovern,University of Texas - Houston
Mt Sinai,Mount Sinai
NYU,New York University - Grossman
New York University,New York University - Grossman
Penn,Pennsylvania
OHSU,Oregon Health and Science
OSU,Ohio State
Robert Wood Johnson,Rutgers - Robert Wood Johnson
RWJ,Rutgers - Robert Wood Johnson
New Jersey,Rutgers - New Jersey
State University of New York Downstate,SUNY Downstate
State University of New York Upstate,SUNY Upstate
UC Davis,University of California Davis
UCD,University of California Davis
UC Irvine,University of California Irvine
UCI,University of California Irvine
UC San Diego,University of California San Diego
UCSD,University of California San Diego
UC Los Angeles,University of California Los Angeles
UCLA,University of California Los Angeles
Geffen,University of California Los Angeles
UC San Francisco,University of California San Francisco
UCSF,University of California San Francisco
Uconn,Connecticut
UMD,Maryland
UNC,North Carolina
UPenn,Pennsylvania
USC,University of Southern California
Pitt,Pittsburgh
UT Southwestern,University of Texas - Southwestern
UTSA,University of Texas - San Antonio
UTSW,University of Texas - Southwestern
UW,Washington
UMass,Massachussetts
VCU,Virginia Commonwealth
Vandy,Vanderbilt
WUSTL,Washington University Saint Louis
WashU,Washington University Saint Louis
Weill,Cornell
